"COD_EMPRESA","NUM_PEDIDO","NUM_SEQUENCIA","COD_ITEM","QTD_PECAS_SOLIC","PRE_UNIT","PCT_DESC_ADIC","PCT_DESC_BRUTO","PRZ_ENTREGA","VAL_SEGURO_UNIT","VAL_FRETE_UNIT"
"01",18813,1,"0301020101166  ",1,5200,0,0,[2016/04/07:12:00:00 AM],0,0
"01",18813,2,"0301020101162  ",1,3860,0,0,[2016/04/07:12:00:00 AM],0,0
"01",19238,1,"0301020101162  ",1,4200,0,0,[2016/06/07:12:00:00 AM],0,0
"01",19238,2,"0301020101166  ",1,5415,0,0,[2016/06/07:12:00:00 AM],0,0
"01",8583,1,"0302010101001  ",24,81,0,0,[2012/04/15:12:00:00 AM],0,0
"01",8961,1,"3310010101001  ",5,705,0,0,[2012/06/04:12:00:00 AM],0,0
"01",19238,3,"0301020101024  ",1,360,0,0,[2016/06/07:12:00:00 AM],0,0
"01",19091,2,"3311010201009  ",1,15200,0,0,[2016/05/23:12:00:00 AM],0,0
"01",19279,1,"0301020204041  ",1,8030,0,0,[2016/07/08:12:00:00 AM],0,0
"01",19279,2,"0301020204042  ",1,8135,0,0,[2016/07/08:12:00:00 AM],0,0
"01",19887,1,"0301020206031  ",1,17982,0,0,[2016/09/13:12:00:00 AM],0,0
"01",8583,2,"0302060501001  ",7,125,0,0,[2012/05/11:12:00:00 AM],0,0
"01",8583,3,"0302070401001  ",1,575,0,0,[2012/05/11:12:00:00 AM],0,0
"01",19091,1,"3311010201008  ",1,15300,0,0,[2016/05/23:12:00:00 AM],0,0
"01",14591,2,"0302082004027  ",5,92,0,0,[2014/08/20:12:00:00 AM],0,0
"01",8129,1,"0307110101001  ",1,26290,0,0,[2012/03/30:12:00:00 AM],0,0
"01",8583,4,"0301030102021  ",4,77,0,0,[2012/04/15:12:00:00 AM],0,0
"01",16677,1,"0302010101007  ",32,56.25,0,0,[2015/05/08:12:00:00 AM],0,0
"01",19887,2,"0301020206032  ",1,24892,0,0,[2016/09/13:12:00:00 AM],0,0
"01",19887,3,"0302081501001  ",1,4060,0,0,[2016/09/13:12:00:00 AM],0,0
"01",18689,1,"0302082005006  ",1,3180,0,0,[2016/03/14:12:00:00 AM],0,0
"01",14591,3,"0302082004030  ",5,107,0,0,[2014/08/20:12:00:00 AM],0,0
"01",14591,1,"0302082004026  ",1,561,0,0,[2014/08/20:12:00:00 AM],0,0
"01",14591,4,"0302082004028  ",5,148,0,0,[2014/08/20:12:00:00 AM],0,0
"01",14591,5,"0302082004029  ",1,750,0,0,[2014/08/20:12:00:00 AM],0,0
"01",14591,6,"0302082004026  ",1,561,0,0,[2014/09/20:12:00:00 AM],0,0
"01",18006,1,"3311010201010  ",1,1180,0,0,[2015/12/05:12:00:00 AM],0,0
"01",14591,7,"0302082004027  ",5,92,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14591,8,"0302082004030  ",5,107,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14591,9,"0302082004028  ",5,148,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14591,10,"0302082004029  ",1,750,0,0,[2014/09/20:12:00:00 AM],0,0
"01",14591,11,"0302082004026  ",1,561,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14591,12,"0302082004027  ",5,92,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14591,13,"0302082004030  ",5,107,0,0,[2014/10/20:12:00:00 AM],0,0
"01",18006,2,"3311010201011  ",1,1180,0,0,[2015/12/05:12:00:00 AM],0,0
"01",14591,14,"0302082004028  ",5,148,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14591,15,"0302082004029  ",1,750,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14591,16,"0302082004026  ",1,561,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14591,17,"0302082004027  ",5,92,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14591,18,"0302082004030  ",5,107,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14591,19,"0302082004028  ",5,148,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14591,20,"0302082004029  ",1,750,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14591,21,"0302082004026  ",1,561,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14591,22,"0302082004027  ",5,92,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14591,23,"0302082004030  ",5,107,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14591,24,"0302082004028  ",5,148,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14591,25,"0302082004029  ",1,750,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14591,26,"0302082004026  ",1,561,0,0,[2015/01/20:12:00:00 AM],0,0
"01",14591,27,"0302082004027  ",5,92,0,0,[2015/01/20:12:00:00 AM],0,0
"01",14591,28,"0302082004030  ",5,107,0,0,[2015/01/20:12:00:00 AM],0,0
"01",14591,29,"0302082004028  ",5,148,0,0,[2015/01/20:12:00:00 AM],0,0
"01",14591,30,"0302082004029  ",1,750,0,0,[2015/01/20:12:00:00 AM],0,0
"01",14591,31,"0302082004026  ",1,561,0,0,[2015/02/20:12:00:00 AM],0,0
"01",14591,32,"0302082004027  ",5,92,0,0,[2015/02/20:12:00:00 AM],0,0
"01",14591,33,"0302082004030  ",5,107,0,0,[2015/02/20:12:00:00 AM],0,0
"01",14591,34,"0302082004028  ",5,148,0,0,[2015/02/20:12:00:00 AM],0,0
"01",14591,35,"0302082004029  ",1,750,0,0,[2015/02/20:12:00:00 AM],0,0
"01",14591,36,"0302082004026  ",1,561,0,0,[2015/03/20:12:00:00 AM],0,0
"01",14591,37,"0302082004027  ",5,92,0,0,[2015/03/20:12:00:00 AM],0,0
"01",14591,38,"0302082004030  ",5,107,0,0,[2015/03/20:12:00:00 AM],0,0
"01",14591,39,"0302082004028  ",5,148,0,0,[2015/03/20:12:00:00 AM],0,0
"01",14591,40,"0302082004029  ",1,750,0,0,[2015/03/20:12:00:00 AM],0,0
"01",14591,41,"0302082004026  ",1,561,0,0,[2015/04/20:12:00:00 AM],0,0
"01",14591,42,"0302082004027  ",5,92,0,0,[2015/04/20:12:00:00 AM],0,0
"01",14591,43,"0302082004030  ",5,107,0,0,[2015/04/20:12:00:00 AM],0,0
"01",14591,44,"0302082004028  ",5,148,0,0,[2015/04/20:12:00:00 AM],0,0
"01",14591,45,"0302082004029  ",1,750,0,0,[2015/04/20:12:00:00 AM],0,0
"01",14591,46,"0302082004026  ",1,561,0,0,[2015/05/20:12:00:00 AM],0,0
"01",14591,47,"0302082004027  ",5,92,0,0,[2015/05/20:12:00:00 AM],0,0
"01",14591,48,"0302082004030  ",5,107,0,0,[2015/05/20:12:00:00 AM],0,0
"01",14591,49,"0302082004028  ",5,148,0,0,[2015/05/20:12:00:00 AM],0,0
"01",14591,50,"0302082004029  ",1,750,0,0,[2015/05/20:12:00:00 AM],0,0
"01",14591,51,"0302082004026  ",1,561,0,0,[2015/06/20:12:00:00 AM],0,0
"01",14591,52,"0302082004027  ",5,92,0,0,[2015/06/20:12:00:00 AM],0,0
"01",14591,53,"0302082004030  ",5,107,0,0,[2015/06/20:12:00:00 AM],0,0
"01",14591,54,"0302082004028  ",5,148,0,0,[2015/06/20:12:00:00 AM],0,0
"01",14591,55,"0302082004029  ",1,750,0,0,[2015/06/20:12:00:00 AM],0,0
